answer_history_id,student_id,question_id,mistake_case_id,review_plan_id,submit_no,is_correct,submit_time,photo_url,ocr_answer,ocr_steps,knowledge_id,error_cause_id,submit_type
A062,S007,Q0005,M032,,2,1,2026/01/14 15:10,,,,K002,E002,错题订正
A063,S007,Q0002,M033,,1,1,2026/01/11 16:08,,,,K007,E001,首次做题
A064,S007,Q0003,M034,,1,0,2026/03/20 16:06,,,,K007,E001,首次做题
A065,S007,Q0003,M034,,2,1,2026/03/20 12:36,,,,K007,E001,错题订正
A066,S008,Q0001,M035,,1,1,2026/03/21 17:25,,,,K008,E003,首次做题
A067,S008,Q0004,M036,,1,0,2026/03/06 20:55,,,,K005,E002,首次做题
A068,S008,Q0004,M036,,2,0,2026/03/06 11:26,,,,K005,E002,错题订正
A069,S008,Q0004,M036,,3,1,2026/03/06 14:22,,,,K005,E002,复习做题
A070,S008,Q0005,M037,,1,0,2026/02/26 11:45,,,,K002,E001,首次做题
A071,S008,Q0005,M037,,2,0,2026/02/26 18:12,,,,K002,E001,错题订正
A072,S008,Q0005,M037,,3,1,2026/02/26 18:11,,,,K002,E001,复习做题
A073,S008,Q0002,M038,,1,0,2026/01/05 19:53,,,,K009,E001,首次做题
A074,S008,Q0002,M038,,2,1,2026/01/05 09:20,,,,K009,E001,错题订正
A075,S008,Q0003,M039,,1,1,2026/02/24 20:01,,,,K003,E001,首次做题
A076,S009,Q0005,M040,,1,1,2026/01/04 15:00,,,,K003,E001,首次做题
A077,S009,Q0003,M041,,1,0,2026/03/11 10:15,,,,K003,E003,首次做题
A078,S009,Q0003,M041,,2,0,2026/03/11 15:44,,,,K003,E003,错题订正
A079,S009,Q0003,M041,,3,1,2026/03/11 18:32,,,,K003,E003,复习做题
A080,S009,Q0002,M042,,1,1,2026/01/10 13:55,,,,K004,E001,首次做题
A081,S009,Q0004,M043,,1,0,2026/03/04 17:41,,,,K005,E002,首次做题
A082,S009,Q0004,M043,,2,0,2026/03/04 09:33,,,,K005,E002,错题订正
A083,S009,Q0004,M043,,3,1,2026/03/04 13:16,,,,K005,E002,复习做题
A084,S009,Q0001,M044,,1,1,2026/03/16 11:53,,,,K009,E002,首次做题
A085,S010,Q0001,M045,,1,0,2026/03/14 11:43,,,,K001,E001,首次做题
A086,S010,Q0001,M045,,2,1,2026/03/14 15:40,,,,K001,E001,错题订正
A087,S010,Q0004,M046,,1,0,2026/01/23 15:46,,,,K006,E002,首次做题
A088,S010,Q0004,M046,,2,1,2026/01/23 17:19,,,,K006,E002,错题订正
A089,S010,Q0005,M047,,1,1,2026/02/08 13:01,,,,K010,E002,首次做题
A090,S010,Q0003,M048,,1,1,2026/03/08 16:12,,,,K005,E003,首次做题
A091,S010,Q0002,M049,,1,1,2026/03/11 13:33,,,,K009,E003,首次做题
A092,S011,Q0003,M050,,1,1,2026/02/11 20:36,,,,K006,E002,首次做题
A093,S011,Q0001,M051,,1,0,2026/03/07 10:21,,,,K009,E002,首次做题
A094,S011,Q0001,M051,,2,1,2026/03/07 14:15,,,,K009,E002,错题订正
A095,S011,Q0002,M052,,1,0,2026/01/07 12:40,,,,K002,E001,首次做题
A096,S011,Q0002,M052,,2,0,2026/01/07 19:30,,,,K002,E001,错题订正
A097,S011,Q0002,M052,,3,1,2026/01/07 14:08,,,,K002,E001,复习做题
A098,S011,Q0005,M053,,1,0,2026/02/27 08:53,,,,K001,E003,首次做题
A099,S011,Q0005,M053,,2,1,2026/02/27 09:54,,,,K001,E003,错题订正
A100,S011,Q0004,M054,,1,0,2026/01/25 16:59,,,,K009,E003,首次做题
A101,S011,Q0004,M054,,2,0,2026/01/25 10:25,,,,K009,E003,错题订正
A102,S011,Q0004,M054,,3,1,2026/01/25 20:29,,,,K009,E003,复习做题
A103,S012,Q0003,M055,,1,0,2026/01/07 16:58,,,,K010,E002,首次做题
A104,S012,Q0003,M055,,2,0,2026/01/07 17:29,,,,K010,E002,错题订正
A105,S012,Q0003,M055,,3,1,2026/01/07 18:48,,,,K010,E002,复习做题
A106,S012,Q0005,M056,,1,0,2026/01/21 20:25,,,,K009,E001,首次做题
A107,S012,Q0005,M056,,2,0,2026/01/21 15:56,,,,K009,E001,错题订正
A108,S012,Q0005,M056,,3,1,2026/01/21 13:34,,,,K009,E001,复习做题
A109,S012,Q0002,M057,,1,1,2026/02/02 13:35,,,,K008,E003,首次做题
A110,S012,Q0001,M058,,1,1,2026/02/15 16:36,,,,K008,E002,首次做题
A111,S012,Q0004,M059,,1,0,2026/01/24 11:31,,,,K002,E003,首次做题
A112,S012,Q0004,M059,,2,1,2026/01/24 11:57,,,,K002,E003,错题订正
A113,S013,Q0001,M060,,1,1,2026/02/21 11:57,,,,K008,E003,首次做题
A114,S013,Q0005,M061,,1,0,2026/03/29 16:49,,,,K002,E002,首次做题
A115,S013,Q0005,M061,,2,0,2026/03/29 10:09,,,,K002,E002,错题订正
A116,S013,Q0005,M061,,3,1,2026/03/29 20:15,,,,K002,E002,复习做题
A117,S013,Q0002,M062,,1,0,2026/03/20 20:16,,,,K006,E002,首次做题
A118,S013,Q0002,M062,,2,1,2026/03/20 11:17,,,,K006,E002,错题订正
A119,S013,Q0004,M063,,1,1,2026/03/03 15:18,,,,K008,E002,首次做题
A120,S013,Q0003,M064,,1,0,2026/03/19 09:55,,,,K006,E001,首次做题
A121,S013,Q0003,M064,,2,0,2026/03/19 16:38,,,,K006,E001,错题订正
A122,S013,Q0003,M064,,3,1,2026/03/19 08:30,,,,K006,E001,复习做题
A123,S014,Q0002,M065,,1,1,2026/01/16 09:50,,,,K003,E001,首次做题
A124,S014,Q0003,M066,,1,0,2026/02/11 11:09,,,,K006,E003,首次做题
A125,S014,Q0003,M066,,2,0,2026/02/11 16:24,,,,K006,E003,错题订正
A126,S014,Q0003,M066,,3,1,2026/02/11 09:58,,,,K006,E003,复习做题
A127,S014,Q0005,M067,,1,0,2026/02/03 15:27,,,,K006,E003,首次做题
A128,S014,Q0005,M067,,2,1,2026/02/03 19:45,,,,K006,E003,错题订正
A129,S014,Q0001,M068,,1,1,2026/02/17 12:04,,,,K002,E002,首次做题
A130,S014,Q0004,M069,,1,0,2026/01/05 20:02,,,,K003,E001,首次做题
A131,S014,Q0004,M069,,2,0,2026/01/05 14:28,,,,K003,E001,错题订正
A132,S014,Q0004,M069,,3,1,2026/01/05 18:44,,,,K003,E001,复习做题
A133,S015,Q0002,M070,,1,0,2026/03/09 16:05,,,,K009,E001,首次做题
A134,S015,Q0002,M070,,2,1,2026/03/09 14:43,,,,K009,E001,错题订正
A135,S015,Q0005,M071,,1,0,2026/02/05 12:19,,,,K007,E003,首次做题
A136,S015,Q0005,M071,,2,1,2026/02/05 18:58,,,,K007,E003,错题订正
A137,S015,Q0003,M072,,1,0,2026/03/10 13:41,,,,K010,E002,首次做题
A138,S015,Q0003,M072,,2,0,2026/03/10 19:51,,,,K010,E002,错题订正
A139,S015,Q0003,M072,,3,1,2026/03/10 11:18,,,,K010,E002,复习做题
A140,S015,Q0004,M073,,1,1,2026/01/22 12:52,,,,K003,E001,首次做题
A141,S015,Q0001,M074,,1,0,2026/02/05 08:25,,,,K002,E002,首次做题
A142,S015,Q0001,M074,,2,1,2026/02/05 20:58,,,,K002,E002,错题订正
A143,S016,Q0002,M075,,1,1,2026/02/25 10:08,,,,K002,E001,首次做题
A144,S016,Q0001,M076,,1,0,2026/03/02 16:31,,,,K005,E001,首次做题
A145,S016,Q0001,M076,,2,1,2026/03/02 20:37,,,,K005,E001,错题订正
A146,S016,Q0003,M077,,1,0,2026/03/08 08:51,,,,K002,E002,首次做题
A147,S016,Q0003,M077,,2,1,2026/03/08 09:24,,,,K002,E002,错题订正
A148,S016,Q0005,M078,,1,0,2026/02/24 12:51,,,,K003,E001,首次做题
A149,S016,Q0005,M078,,2,0,2026/02/24 14:59,,,,K003,E001,错题订正
A150,S016,Q0005,M078,,3,1,2026/02/24 20:21,,,,K003,E001,复习做题
A151,S016,Q0004,M079,,1,0,2026/02/17 12:59,,,,K007,E003,首次做题
A152,S016,Q0004,M079,,2,0,2026/02/17 17:21,,,,K007,E003,错题订正
A153,S016,Q0004,M079,,3,1,2026/02/17 13:39,,,,K007,E003,复习做题
A154,S017,Q0002,M080,,1,1,2026/03/12 10:37,,,,K007,E002,首次做题
A155,S017,Q0004,M081,,1,0,2026/03/20 19:41,,,,K001,E002,首次做题
A156,S017,Q0004,M081,,2,1,2026/03/20 19:21,,,,K001,E002,错题订正
A157,S017,Q0005,M082,,1,0,2026/02/17 09:26,,,,K002,E001,首次做题
A158,S017,Q0005,M082,,2,0,2026/02/17 09:42,,,,K002,E001,错题订正
A159,S017,Q0005,M082,,3,1,2026/02/17 14:04,,,,K002,E001,复习做题
A160,S017,Q0003,M083,,1,1,2026/01/03 15:31,,,,K003,E002,首次做题
A161,S017,Q0001,M084,,1,0,2026/02/04 16:20,,,,K009,E001,首次做题
A162,S017,Q0001,M084,,2,0,2026/02/04 18:13,,,,K009,E001,错题订正
A163,S017,Q0001,M084,,3,1,2026/02/04 16:39,,,,K009,E001,复习做题
A164,S018,Q0001,M085,,1,0,2026/02/21 10:11,,,,K007,E001,首次做题
A165,S018,Q0001,M085,,2,1,2026/02/21 13:27,,,,K007,E001,错题订正
A166,S018,Q0004,M086,,1,0,2026/02/08 16:42,,,,K005,E001,首次做题
A167,S018,Q0004,M086,,2,1,2026/02/08 17:50,,,,K005,E001,错题订正
A168,S018,Q0005,M087,,1,0,2026/04/01 13:30,,,,K008,E003,首次做题
A169,S018,Q0005,M087,,2,1,2026/04/01 16:23,,,,K008,E003,错题订正
A170,S018,Q0002,M088,,1,1,2026/01/08 14:28,,,,K009,E001,首次做题
A171,S018,Q0003,M089,,1,0,2026/01/07 10:26,,,,K005,E002,首次做题
A172,S018,Q0003,M089,,2,1,2026/01/07 14:55,,,,K005,E002,错题订正
A173,S019,Q0004,M090,,1,1,2026/01/27 15:41,,,,K009,E001,首次做题
A174,S019,Q0002,M091,,1,0,2026/03/18 10:00,,,,K007,E002,首次做题
A175,S019,Q0002,M091,,2,0,2026/03/18 10:32,,,,K007,E002,错题订正
A176,S019,Q0002,M091,,3,1,2026/03/18 10:32,,,,K007,E002,复习做题
A177,S019,Q0003,M092,,1,0,2026/03/14 19:50,,,,K003,E001,首次做题
A178,S019,Q0003,M092,,2,1,2026/03/14 17:10,,,,K003,E001,错题订正
A179,S019,Q0001,M093,,1,0,2026/01/08 14:31,,,,K005,E002,首次做题
A180,S019,Q0001,M093,,2,0,2026/01/08 17:16,,,,K005,E002,错题订正
A181,S019,Q0001,M093,,3,1,2026/01/08 14:07,,,,K005,E002,复习做题
A182,S019,Q0005,M094,,1,0,2026/01/17 09:57,,,,K009,E003,首次做题
A183,S019,Q0005,M094,,2,1,2026/01/17 15:31,,,,K009,E003,错题订正
A184,S020,Q0004,M095,,1,0,2026/01/01 14:42,,,,K007,E002,首次做题
A185,S020,Q0004,M095,,2,1,2026/01/01 16:37,,,,K007,E002,错题订正
A186,S020,Q0002,M096,,1,1,2026/03/05 10:40,,,,K002,E001,首次做题
A187,S020,Q0003,M097,,1,1,2026/03/13 09:08,,,,K006,E003,首次做题
A188,S020,Q0001,M098,,1,0,2026/03/04 10:09,,,,K010,E002,首次做题
A189,S020,Q0001,M098,,2,0,2026/03/04 15:23,,,,K010,E002,错题订正
A190,S020,Q0001,M098,,3,1,2026/03/04 10:40,,,,K010,E002,复习做题
A191,S020,Q0005,M099,,1,0,2026/02/06 14:22,,,,K010,E003,首次做题
A192,S020,Q0005,M099,,2,0,2026/02/06 09:57,,,,K010,E003,错题订正
A193,S020,Q0005,M099,,3,1,2026/02/06 14:12,,,,K010,E003,复习做题
A194,S021,Q0001,M100,,1,0,2026/01/24 08:19,,,,K010,E002,首次做题
A195,S021,Q0001,M100,,2,1,2026/01/24 12:29,,,,K010,E002,错题订正
A196,S021,Q0005,M101,,1,1,2026/03/24 15:15,,,,K009,E001,首次做题
A197,S021,Q0004,M102,,1,1,2026/02/20 14:52,,,,K005,E002,首次做题
A198,S021,Q0003,M103,,1,1,2026/02/07 09:35,,,,K003,E001,首次做题
A199,S021,Q0002,M104,,1,1,2026/02/27 18:01,,,,K010,E002,首次做题
A200,S022,Q0004,M105,,1,1,2026/02/13 17:08,,,,K008,E003,首次做题
A201,S022,Q0005,M106,,1,0,2026/01/17 09:24,,,,K003,E001,首次做题
A202,S022,Q0005,M106,,2,1,2026/01/17 17:31,,,,K003,E001,错题订正
A203,S022,Q0003,M107,,1,0,2026/01/20 08:05,,,,K006,E003,首次做题
A204,S022,Q0003,M107,,2,0,2026/01/20 14:00,,,,K006,E003,错题订正
A205,S022,Q0003,M107,,3,1,2026/01/20 15:40,,,,K006,E003,复习做题
A206,S022,Q0001,M108,,1,0,2026/01/24 10:50,,,,K002,E001,首次做题
A207,S022,Q0001,M108,,2,0,2026/01/24 10:18,,,,K002,E001,错题订正
A208,S022,Q0001,M108,,3,1,2026/01/24 20:17,,,,K002,E001,复习做题
A209,S022,Q0002,M109,,1,1,2026/02/19 19:12,,,,K008,E003,首次做题
A210,S023,Q0004,M110,,1,1,2026/01/03 17:53,,,,K003,E003,首次做题
A211,S023,Q0001,M111,,1,1,2026/02/05 16:58,,,,K006,E001,首次做题
A212,S023,Q0002,M112,,1,1,2026/01/14 16:03,,,,K010,E002,首次做题
A213,S023,Q0005,M113,,1,1,2026/04/01 11:56,,,,K009,E002,首次做题
A214,S023,Q0003,M114,,1,0,2026/01/16 16:21,,,,K007,E001,首次做题
A215,S023,Q0003,M114,,2,1,2026/01/16 13:26,,,,K007,E001,错题订正
A216,S024,Q0001,M115,,1,1,2026/03/19 11:34,,,,K001,E002,首次做题
A217,S024,Q0002,M116,,1,0,2026/02/23 11:01,,,,K006,E002,首次做题
A218,S024,Q0002,M116,,2,0,2026/02/23 08:19,,,,K006,E002,错题订正
A219,S024,Q0002,M116,,3,1,2026/02/23 09:38,,,,K006,E002,复习做题
A220,S024,Q0004,M117,,1,1,2026/02/19 14:16,,,,K009,E003,首次做题
A221,S024,Q0005,M118,,1,1,2026/02/04 09:48,,,,K003,E003,首次做题
A222,S024,Q0003,M119,,1,0,2026/02/13 10:31,,,,K003,E002,首次做题
A223,S024,Q0003,M119,,2,0,2026/02/13 12:10,,,,K003,E002,错题订正
A224,S024,Q0003,M119,,3,1,2026/02/13 18:46,,,,K003,E002,复习做题
A225,S025,Q0001,M120,,1,0,2026/03/03 16:37,,,,K001,E001,首次做题
A226,S025,Q0001,M120,,2,1,2026/03/03 20:44,,,,K001,E001,错题订正
A227,S025,Q0003,M121,,1,0,2026/03/30 20:33,,,,K006,E003,首次做题
A228,S025,Q0003,M121,,2,1,2026/03/30 08:49,,,,K006,E003,错题订正
A229,S025,Q0002,M122,,1,0,2026/01/24 14:32,,,,K003,E002,首次做题
A230,S025,Q0002,M122,,2,1,2026/01/24 15:42,,,,K003,E002,错题订正
A231,S026,Q0003,M123,,1,1,2026/03/02 17:14,,,,K005,E001,首次做题
A232,S026,Q0002,M124,,1,1,2026/01/10 09:12,,,,K009,E001,首次做题
A233,S026,Q0001,M125,,1,0,2026/01/11 20:33,,,,K006,E001,首次做题
A234,S026,Q0001,M125,,2,1,2026/01/11 17:17,,,,K006,E001,错题订正
A235,S026,Q0005,M126,,1,1,2026/03/21 13:54,,,,K004,E002,首次做题
A236,S026,Q0004,M127,,1,1,2026/03/02 11:00,,,,K006,E002,首次做题
A237,S027,Q0003,M128,,1,1,2026/01/27 12:12,,,,K008,E001,首次做题
A238,S027,Q0005,M129,,1,0,2026/02/09 10:54,,,,K006,E002,首次做题
A239,S027,Q0005,M129,,2,0,2026/02/09 14:20,,,,K006,E002,错题订正
A240,S027,Q0005,M129,,3,1,2026/02/09 17:58,,,,K006,E002,复习做题
A241,S027,Q0001,M130,,1,0,2026/01/10 16:51,,,,K009,E001,首次做题
A242,S027,Q0001,M130,,2,1,2026/01/10 09:13,,,,K009,E001,错题订正
A243,S027,Q0002,M131,,1,0,2026/03/08 15:24,,,,K002,E002,首次做题
A244,S027,Q0002,M131,,2,1,2026/03/08 10:11,,,,K002,E002,错题订正
A245,S027,Q0004,M132,,1,0,2026/03/07 19:49,,,,K004,E003,首次做题
A246,S027,Q0004,M132,,2,0,2026/03/07 12:40,,,,K004,E003,错题订正
A247,S027,Q0004,M132,,3,1,2026/03/07 13:29,,,,K004,E003,复习做题
A248,S028,Q0002,M133,,1,1,2026/02/10 13:49,,,,K010,E001,首次做题
A249,S028,Q0001,M134,,1,0,2026/03/21 13:20,,,,K010,E001,首次做题
A250,S028,Q0001,M134,,2,1,2026/03/21 12:51,,,,K010,E001,错题订正
A251,S028,Q0003,M135,,1,1,2026/01/07 11:56,,,,K010,E001,首次做题
A252,S028,Q0005,M136,,1,1,2026/02/08 08:33,,,,K002,E001,首次做题
A253,S028,Q0004,M137,,1,0,2026/02/12 14:53,,,,K007,E003,首次做题
A254,S028,Q0004,M137,,2,1,2026/02/12 20:54,,,,K007,E003,错题订正
A255,S029,Q0004,M138,,1,1,2026/03/18 08:14,,,,K004,E003,首次做题
A256,S029,Q0002,M139,,1,0,2026/02/20 16:17,,,,K003,E002,首次做题
A257,S029,Q0002,M139,,2,1,2026/02/20 10:38,,,,K003,E002,错题订正
A258,S029,Q0005,M140,,1,1,2026/03/31 18:24,,,,K004,E003,首次做题
A259,S029,Q0003,M141,,1,1,2026/03/01 16:24,,,,K008,E003,首次做题
A260,S029,Q0001,M142,,1,1,2026/01/29 12:00,,,,K001,E001,首次做题
A261,S030,Q0002,M143,,1,0,2026/03/05 15:00,,,,K005,E003,首次做题
A262,S030,Q0002,M143,,2,1,2026/03/05 14:59,,,,K005,E003,错题订正
A263,S030,Q0001,M144,,1,0,2026/03/14 09:04,,,,K003,E001,首次做题
A264,S030,Q0001,M144,,2,0,2026/03/14 19:12,,,,K003,E001,错题订正
A265,S030,Q0001,M144,,3,1,2026/03/14 19:27,,,,K003,E001,复习做题
A266,S030,Q0003,M145,,1,0,2026/02/18 12:26,,,,K009,E003,首次做题
A267,S030,Q0003,M145,,2,0,2026/02/18 11:16,,,,K009,E003,错题订正
A268,S030,Q0003,M145,,3,1,2026/02/18 14:52,,,,K009,E003,复习做题
A269,S030,Q0005,M146,,1,0,2026/03/02 20:23,,,,K010,E001,首次做题
A270,S030,Q0005,M146,,2,1,2026/03/02 10:42,,,,K010,E001,错题订正
A271,S030,Q0004,M147,,1,0,2026/02/21 20:21,,,,K007,E003,首次做题
A272,S030,Q0004,M147,,2,1,2026/02/21 08:07,,,,K007,E003,错题订正
A273,S031,Q0002,M148,,1,1,2026/02/25 11:10,,,,K010,E002,首次做题
A274,S031,Q0003,M149,,1,1,2026/03/13 16:28,,,,K003,E003,首次做题
A275,S031,Q0001,M150,,1,1,2026/03/14 09:39,,,,K002,E001,首次做题
A276,S031,Q0005,M151,,1,0,2026/02/21 20:34,,,,K001,E003,首次做题
A277,S031,Q0005,M151,,2,0,2026/02/21 18:17,,,,K001,E003,错题订正
A278,S031,Q0005,M151,,3,1,2026/02/21 11:16,,,,K001,E003,复习做题
A279,S031,Q0004,M152,,1,1,2026/03/25 20:16,,,,K007,E001,首次做题
A280,S032,Q0002,M153,,1,1,2026/01/19 10:07,,,,K007,E001,首次做题
A281,S032,Q0004,M154,,1,0,2026/03/23 08:47,,,,K007,E003,首次做题
A282,S032,Q0004,M154,,2,0,2026/03/23 12:51,,,,K007,E003,错题订正
A283,S032,Q0004,M154,,3,1,2026/03/23 12:09,,,,K007,E003,复习做题
A284,S032,Q0003,M155,,1,1,2026/02/02 11:00,,,,K002,E002,首次做题
A285,S032,Q0005,M156,,1,0,2026/03/23 10:47,,,,K004,E003,首次做题
A286,S032,Q0005,M156,,2,1,2026/03/23 11:00,,,,K004,E003,错题订正
A287,S032,Q0001,M157,,1,1,2026/03/23 12:52,,,,K002,E001,首次做题
A288,S033,Q0005,M158,,1,1,2026/03/06 18:59,,,,K008,E003,首次做题
A289,S033,Q0004,M159,,1,0,2026/03/30 17:06,,,,K005,E001,首次做题
A290,S033,Q0004,M159,,2,1,2026/03/30 08:18,,,,K005,E001,错题订正
A291,S033,Q0001,M160,,1,1,2026/01/30 15:32,,,,K003,E001,首次做题
A292,S033,Q0003,M161,,1,0,2026/03/01 17:52,,,,K004,E003,首次做题
A293,S033,Q0003,M161,,2,1,2026/03/01 18:28,,,,K004,E003,错题订正
A294,S034,Q0003,M162,,1,0,2026/03/13 20:08,,,,K004,E001,首次做题
A295,S034,Q0003,M162,,2,0,2026/03/13 19:37,,,,K004,E001,错题订正
A296,S034,Q0003,M162,,3,1,2026/03/13 20:02,,,,K004,E001,复习做题
A297,S034,Q0004,M163,,1,0,2026/01/15 15:39,,,,K005,E001,首次做题
A298,S034,Q0004,M163,,2,1,2026/01/15 14:29,,,,K005,E001,错题订正
A299,S034,Q0001,M164,,1,1,2026/02/05 12:00,,,,K004,E001,首次做题
A300,S034,Q0005,M165,,1,0,2026/03/23 17:48,,,,K002,E002,首次做题
A301,S034,Q0005,M165,,2,1,2026/03/23 20:36,,,,K002,E002,错题订正
A302,S034,Q0002,M166,,1,0,2026/02/19 09:54,,,,K009,E003,首次做题
A303,S034,Q0002,M166,,2,0,2026/02/19 10:00,,,,K009,E003,错题订正
A304,S034,Q0002,M166,,3,1,2026/02/19 19:29,,,,K009,E003,复习做题
A305,S035,Q0004,M167,,1,0,2026/03/18 11:17,,,,K003,E003,首次做题
A306,S035,Q0004,M167,,2,1,2026/03/18 18:57,,,,K003,E003,错题订正
A307,S035,Q0002,M168,,1,0,2026/03/22 08:36,,,,K008,E003,首次做题
A308,S035,Q0002,M168,,2,1,2026/03/22 13:58,,,,K008,E003,错题订正
A309,S035,Q0001,M169,,1,1,2026/02/18 17:51,,,,K007,E001,首次做题
A310,S035,Q0003,M170,,1,1,2026/03/11 14:11,,,,K007,E001,首次做题
A311,S035,Q0005,M171,,1,1,2026/01/30 20:15,,,,K008,E003,首次做题
A312,S036,Q0004,M172,,1,0,2026/03/05 15:40,,,,K005,E001,首次做题
A313,S036,Q0004,M172,,2,1,2026/03/05 17:32,,,,K005,E001,错题订正
A314,S036,Q0005,M173,,1,0,2026/01/09 20:30,,,,K001,E001,首次做题
