knowledge_mastery_id,student_id,knowledge_id,mastery_level,correct_streak,wrong_streak,updated_at
KM094,S017,K007,Weak,0,1,2026/01/20
KM095,S017,K004,Mastered,9,0,2026/02/01
KM096,S017,K003,Weak,0,4,2026/01/05
KM097,S017,K006,Mastered,3,0,2026/02/27
KM098,S017,K005,Mastered,3,0,2026/02/14
KM099,S017,K010,Weak,0,0,2026/01/03
KM100,S017,K002,Improving,10,0,2026/01/14
KM101,S018,K004,Improving,0,0,2026/02/15
KM102,S018,K005,Mastered,10,0,2026/02/04
KM103,S018,K006,Weak,0,3,2026/01/22
KM104,S018,K007,Improving,1,0,2026/01/11
KM105,S019,K004,Improving,2,0,2026/01/30
KM106,S019,K005,Improving,9,0,2026/01/01
KM107,S019,K006,Improving,5,0,2026/03/27
KM108,S019,K007,Mastered,7,0,2026/02/19
KM109,S020,K001,Mastered,8,0,2026/03/28
KM110,S020,K002,Mastered,6,0,2026/03/23
KM111,S020,K003,Improving,2,0,2026/01/19
KM112,S020,K010,Weak,0,3,2026/03/16
KM113,S021,K006,Weak,0,5,2026/02/13
KM114,S021,K001,Mastered,7,0,2026/03/22
KM115,S021,K005,Improving,7,0,2026/03/11
KM116,S021,K003,Mastered,1,0,2026/03/04
KM117,S021,K002,Improving,10,0,2026/02/27
KM118,S021,K007,Weak,0,3,2026/02/22
KM119,S021,K009,Improving,0,0,2026/03/15
KM120,S021,K004,Weak,0,4,2026/03/13
KM121,S021,K010,Mastered,9,0,2026/04/01
KM122,S021,K008,Weak,0,3,2026/02/05
KM123,S022,K008,Improving,0,0,2026/01/11
KM124,S022,K009,Weak,0,5,2026/01/08
KM125,S023,K007,Weak,0,2,2026/02/16
KM126,S023,K001,Improving,10,0,2026/03/07
KM127,S023,K003,Weak,0,0,2026/01/12
KM128,S023,K010,Weak,0,1,2026/02/08
KM129,S023,K004,Weak,0,3,2026/03/08
KM130,S023,K002,Improving,0,0,2026/01/24
KM131,S024,K002,Improving,7,0,2026/03/19
KM132,S024,K001,Mastered,2,0,2026/03/11
KM133,S024,K004,Mastered,7,0,2026/01/30
KM134,S024,K003,Weak,0,5,2026/02/23
KM135,S024,K009,Weak,0,2,2026/02/06
KM136,S024,K007,Mastered,1,0,2026/02/22
KM137,S024,K010,Mastered,3,0,2026/01/19
KM138,S024,K008,Improving,0,0,2026/03/24
KM139,S024,K005,Weak,0,0,2026/01/27
KM140,S024,K006,Mastered,5,0,2026/03/09
KM141,S025,K006,Weak,0,4,2026/03/20
KM142,S025,K009,Mastered,10,0,2026/02/04
KM143,S025,K005,Improving,2,0,2026/03/15
KM144,S025,K008,Improving,3,0,2026/01/20
KM145,S025,K007,Improving,9,0,2026/03/11
KM146,S025,K002,Mastered,3,0,2026/01/20
KM147,S025,K010,Weak,0,2,2026/01/17
KM148,S025,K001,Mastered,4,0,2026/01/01
KM149,S025,K004,Improving,5,0,2026/01/05
KM150,S025,K003,Weak,0,3,2026/03/02
KM151,S026,K004,Weak,0,5,2026/01/27
KM152,S026,K005,Improving,10,0,2026/03/24
KM153,S026,K006,Mastered,6,0,2026/01/03
KM154,S026,K002,Mastered,4,0,2026/02/17
KM155,S026,K009,Mastered,5,0,2026/01/07
KM156,S026,K008,Improving,5,0,2026/02/09
KM157,S026,K001,Weak,0,2,2026/03/06
KM158,S027,K007,Mastered,1,0,2026/03/17
KM159,S027,K006,Improving,9,0,2026/01/16
KM160,S027,K008,Mastered,1,0,2026/03/17
KM161,S027,K010,Improving,9,0,2026/01/09
KM162,S027,K001,Mastered,5,0,2026/02/09
KM163,S027,K005,Improving,5,0,2026/02/27
KM164,S027,K003,Improving,1,0,2026/02/11
KM165,S027,K004,Mastered,9,0,2026/03/11
KM166,S027,K009,Weak,0,2,2026/03/07
KM167,S028,K004,Improving,6,0,2026/02/03
KM168,S028,K005,Weak,0,2,2026/03/14
KM169,S028,K006,Mastered,1,0,2026/01/08
KM170,S028,K007,Improving,9,0,2026/01/17
KM171,S029,K001,Weak,0,2,2026/02/06
KM172,S029,K002,Mastered,8,0,2026/01/11
KM173,S029,K003,Mastered,3,0,2026/03/03
KM174,S029,K010,Mastered,0,0,2026/03/25
KM175,S030,K004,Mastered,3,0,2026/02/08
KM176,S030,K005,Weak,0,5,2026/03/21
KM177,S030,K006,Weak,0,2,2026/03/22
KM178,S030,K007,Mastered,9,0,2026/02/18
KM179,S031,K001,Improving,6,0,2026/02/03
KM180,S031,K002,Improving,0,0,2026/02/21
KM181,S031,K003,Improving,2,0,2026/01/21
KM182,S031,K010,Weak,0,3,2026/02/21
KM183,S032,K007,Mastered,5,0,2026/02/07
KM184,S032,K006,Weak,0,3,2026/01/15
KM185,S032,K010,Mastered,9,0,2026/02/06
KM186,S032,K004,Improving,6,0,2026/01/11
KM187,S032,K002,Improving,8,0,2026/03/08
KM188,S032,K001,Mastered,5,0,2026/03/03
KM189,S032,K009,Mastered,0,0,2026/01/27
KM190,S032,K008,Mastered,0,0,2026/02/06
KM191,S032,K005,Improving,10,0,2026/01/16
KM192,S032,K003,Mastered,10,0,2026/04/01
KM193,S033,K008,Weak,0,5,2026/03/19
KM194,S033,K009,Weak,0,2,2026/03/06
KM195,S034,K008,Weak,0,5,2026/03/11
KM196,S034,K004,Improving,10,0,2026/01/31
KM197,S034,K006,Improving,8,0,2026/03/11
KM198,S034,K010,Improving,6,0,2026/01/28
KM199,S034,K003,Mastered,8,0,2026/02/25
KM200,S034,K001,Mastered,0,0,2026/02/17
KM201,S035,K004,Mastered,5,0,2026/01/12
KM202,S035,K005,Improving,8,0,2026/02/25
KM203,S035,K006,Mastered,10,0,2026/01/10
KM204,S035,K007,Weak,0,0,2026/01/20
KM205,S036,K004,Improving,6,0,2026/03/29
KM206,S036,K005,Mastered,8,0,2026/03/04
KM207,S036,K006,Mastered,10,0,2026/03/27
KM208,S036,K007,Improving,9,0,2026/01/22
KM209,S037,K004,Weak,0,0,2026/01/23
KM210,S037,K005,Mastered,3,0,2026/01/22
KM211,S037,K006,Mastered,3,0,2026/01/28
KM212,S037,K007,Mastered,4,0,2026/01/02
KM213,S038,K008,Improving,3,0,2026/03/07
KM214,S038,K009,Weak,0,5,2026/03/10
KM215,S039,K008,Improving,1,0,2026/02/01
KM216,S039,K009,Improving,1,0,2026/02/21
KM217,S040,K004,Weak,0,3,2026/02/28
KM218,S040,K009,Mastered,3,0,2026/01/07
KM219,S040,K010,Weak,0,0,2026/03/03
KM220,S040,K001,Improving,3,0,2026/01/25
KM221,S040,K006,Improving,9,0,2026/02/01
KM222,S041,K007,Improving,4,0,2026/01/31
KM223,S041,K001,Improving,3,0,2026/02/11
KM224,S041,K010,Improving,6,0,2026/03/13
KM225,S041,K009,Improving,10,0,2026/02/14
KM226,S041,K005,Improving,1,0,2026/03/23
KM227,S041,K002,Weak,0,0,2026/01/24
KM228,S041,K006,Mastered,10,0,2026/03/12
KM229,S041,K008,Mastered,1,0,2026/03/07
KM230,S041,K003,Mastered,7,0,2026/03/08
KM231,S042,K001,Weak,0,4,2026/03/29
KM232,S042,K003,Weak,0,5,2026/03/28
KM233,S042,K005,Improving,8,0,2026/03/03
KM234,S042,K008,Mastered,9,0,2026/01/02
KM235,S042,K006,Improving,2,0,2026/03/14
KM236,S042,K009,Weak,0,0,2026/03/12
KM237,S042,K004,Mastered,6,0,2026/03/20
KM238,S043,K004,Improving,1,0,2026/02/10
KM239,S043,K005,Mastered,0,0,2026/01/12
KM240,S043,K006,Weak,0,5,2026/02/21
KM241,S043,K007,Mastered,2,0,2026/04/01
KM242,S044,K001,Weak,0,5,2026/01/02
KM243,S044,K010,Improving,8,0,2026/02/04
KM244,S044,K006,Mastered,10,0,2026/03/08
KM245,S044,K004,Mastered,5,0,2026/01/16
KM246,S044,K007,Weak,0,0,2026/02/05
KM247,S044,K009,Weak,0,2,2026/02/06
KM248,S044,K002,Weak,0,5,2026/01/24
KM249,S044,K003,Mastered,8,0,2026/01/26
KM250,S045,K008,Mastered,0,0,2026/01/29
KM251,S045,K009,Weak,0,5,2026/03/06
KM252,S046,K006,Improving,9,0,2026/01/15
KM253,S046,K007,Weak,0,5,2026/02/16
KM254,S046,K004,Improving,5,0,2026/02/13
KM255,S046,K008,Weak,0,0,2026/02/20
KM256,S046,K009,Improving,0,0,2026/02/19
KM257,S046,K005,Weak,0,0,2026/02/20
KM258,S046,K010,Weak,0,1,2026/03/22
KM259,S046,K003,Weak,0,3,2026/03/18
KM260,S046,K002,Weak,0,1,2026/02/11
KM261,S046,K001,Improving,1,0,2026/03/04
KM262,S047,K001,Mastered,1,0,2026/01/29
KM263,S047,K002,Mastered,6,0,2026/01/15
KM264,S047,K008,Weak,0,2,2026/01/30
KM265,S047,K006,Improving,2,0,2026/01/21
KM266,S047,K007,Weak,0,3,2026/03/14
KM267,S047,K009,Improving,7,0,2026/01/24
KM268,S047,K003,Mastered,7,0,2026/01/02
KM269,S047,K005,Improving,4,0,2026/02/10
KM270,S047,K004,Weak,0,0,2026/02/11
KM271,S047,K010,Mastered,7,0,2026/02/06
KM272,S048,K001,Weak,0,0,2026/03/24
KM273,S048,K002,Weak,0,2,2026/03/03
KM274,S048,K003,Improving,4,0,2026/01/25
KM275,S048,K010,Weak,0,4,2026/02/19
KM276,S049,K001,Weak,0,0,2026/03/09
KM277,S049,K002,Improving,2,0,2026/03/30
KM278,S049,K003,Improving,7,0,2026/01/28
KM279,S049,K010,Weak,0,3,2026/01/19
KM280,S050,K002,Mastered,4,0,2026/01/06
KM281,S050,K001,Improving,6,0,2026/02/12
KM282,S050,K009,Weak,0,2,2026/01/26
KM283,S050,K003,Mastered,1,0,2026/01/02
KM284,S050,K005,Improving,0,0,2026/01/14
KM285,S050,K010,Weak,0,4,2026/02/12
KM286,S050,K006,Improving,2,0,2026/01/09
KM287,S050,K008,Improving,0,0,2026/02/07
KM288,S050,K007,Mastered,10,0,2026/02/13
KM289,S050,K004,Mastered,7,0,2026/03/08
