push_record_id,review_plan_id,push_date,push_stage,status,created_at
P063,R021,2026-04-03,Day7,已完成,2026-03-27
P064,R022,2026-03-04,Day1,待推送,2026-03-03
P065,R022,2026-03-06,Day3,已完成,2026-03-03
P066,R022,2026-03-10,Day7,待推送,2026-03-03
P067,R023,2026-02-02,Day1,已完成,2026-02-01
P068,R023,2026-02-04,Day3,已完成,2026-02-01
P069,R023,2026-02-08,Day7,待推送,2026-02-01
P070,R024,2026-03-27,Day1,已完成,2026-03-26
P071,R024,2026-03-29,Day3,已完成,2026-03-26
P072,R024,2026-04-02,Day7,已完成,2026-03-26
P073,R025,2026-02-15,Day1,已完成,2026-02-14
P074,R025,2026-02-17,Day3,已完成,2026-02-14
P075,R025,2026-02-21,Day7,待推送,2026-02-14
P076,R026,2026-02-28,Day1,已完成,2026-02-27
P077,R026,2026-03-02,Day3,待推送,2026-02-27
P078,R026,2026-03-06,Day7,已完成,2026-02-27
P079,R027,2026-03-29,Day1,已完成,2026-03-28
P080,R027,2026-03-31,Day3,已完成,2026-03-28
P081,R027,2026-04-04,Day7,已完成,2026-03-28
P082,R028,2026-01-19,Day1,已完成,2026-01-18
P083,R028,2026-01-21,Day3,已完成,2026-01-18
P084,R028,2026-01-25,Day7,已完成,2026-01-18
P085,R029,2026-02-08,Day1,待推送,2026-02-07
P086,R029,2026-02-10,Day3,已完成,2026-02-07
P087,R029,2026-02-14,Day7,已完成,2026-02-07
P088,R030,2026-03-08,Day1,已完成,2026-03-07
P089,R030,2026-03-10,Day3,已完成,2026-03-07
P090,R030,2026-03-14,Day7,已完成,2026-03-07
P091,R031,2026-02-03,Day1,已完成,2026-02-02
P092,R031,2026-02-05,Day3,已完成,2026-02-02
P093,R031,2026-02-09,Day7,已完成,2026-02-02
P094,R032,2026-02-24,Day1,已完成,2026-02-23
P095,R032,2026-02-26,Day3,待推送,2026-02-23
P096,R032,2026-03-02,Day7,已完成,2026-02-23
P097,R033,2026-01-21,Day1,已完成,2026-01-20
P098,R033,2026-01-23,Day3,待推送,2026-01-20
P099,R033,2026-01-27,Day7,已完成,2026-01-20
P100,R034,2026-01-06,Day1,已完成,2026-01-05
P101,R034,2026-01-08,Day3,已完成,2026-01-05
P102,R034,2026-01-12,Day7,已完成,2026-01-05
P103,R035,2026-01-04,Day1,待推送,2026-01-03
P104,R035,2026-01-06,Day3,已完成,2026-01-03
P105,R035,2026-01-10,Day7,已完成,2026-01-03
P106,R036,2026-01-23,Day1,待推送,2026-01-22
P107,R036,2026-01-25,Day3,待推送,2026-01-22
P108,R036,2026-01-29,Day7,待推送,2026-01-22
P109,R037,2026-03-17,Day1,待推送,2026-03-16
P110,R037,2026-03-19,Day3,已完成,2026-03-16
P111,R037,2026-03-23,Day7,待推送,2026-03-16
P112,R038,2026-02-14,Day1,已完成,2026-02-13
P113,R038,2026-02-16,Day3,待推送,2026-02-13
P114,R038,2026-02-20,Day7,已完成,2026-02-13
P115,R039,2026-02-23,Day1,待推送,2026-02-22
P116,R039,2026-02-25,Day3,已完成,2026-02-22
P117,R039,2026-03-01,Day7,已完成,2026-02-22
P118,R040,2026-03-14,Day1,待推送,2026-03-13
P119,R040,2026-03-16,Day3,已完成,2026-03-13
P120,R040,2026-03-20,Day7,已完成,2026-03-13
P121,R041,2026-02-06,Day1,已完成,2026-02-05
P122,R041,2026-02-08,Day3,待推送,2026-02-05
P123,R041,2026-02-12,Day7,待推送,2026-02-05
P124,R042,2026-01-09,Day1,待推送,2026-01-08
P125,R042,2026-01-11,Day3,待推送,2026-01-08
P126,R042,2026-01-15,Day7,已完成,2026-01-08
P127,R043,2026-02-17,Day1,已完成,2026-02-16
P128,R043,2026-02-19,Day3,已完成,2026-02-16
P129,R043,2026-02-23,Day7,已完成,2026-02-16
P130,R044,2026-01-13,Day1,已完成,2026-01-12
P131,R044,2026-01-15,Day3,待推送,2026-01-12
P132,R044,2026-01-19,Day7,待推送,2026-01-12
P133,R045,2026-02-09,Day1,待推送,2026-02-08
P134,R045,2026-02-11,Day3,已完成,2026-02-08
P135,R045,2026-02-15,Day7,已完成,2026-02-08
P136,R046,2026-03-09,Day1,已完成,2026-03-08
P137,R046,2026-03-11,Day3,已完成,2026-03-08
P138,R046,2026-03-15,Day7,已完成,2026-03-08
P139,R047,2026-02-24,Day1,已完成,2026-02-23
P140,R047,2026-02-26,Day3,待推送,2026-02-23
P141,R047,2026-03-02,Day7,已完成,2026-02-23
P142,R048,2026-02-07,Day1,已完成,2026-02-06
P143,R048,2026-02-09,Day3,待推送,2026-02-06
P144,R048,2026-02-13,Day7,已完成,2026-02-06
P145,R049,2026-01-28,Day1,已完成,2026-01-27
P146,R049,2026-01-30,Day3,已完成,2026-01-27
P147,R049,2026-02-03,Day7,待推送,2026-01-27
P148,R050,2026-03-21,Day1,已完成,2026-03-20
P149,R050,2026-03-23,Day3,待推送,2026-03-20
P150,R050,2026-03-27,Day7,已完成,2026-03-20
