mistake_case_id,student_id,question_id,main_knowledge_id,main_error_cause_id,status,created_at
M078,S016,Q0005,K003,E001,已订正,2026-02-24
M079,S016,Q0004,K007,E003,已订正,2026-02-17
M080,S017,Q0002,K007,E002,待订正,2026-03-12
M081,S017,Q0004,K001,E002,已订正,2026-03-20
M082,S017,Q0005,K002,E001,已订正,2026-02-17
M083,S017,Q0003,K003,E002,待订正,2026-01-03
M084,S017,Q0001,K009,E001,已订正,2026-02-04
M085,S018,Q0001,K007,E001,已订正,2026-02-21
M086,S018,Q0004,K005,E001,已订正,2026-02-08
M087,S018,Q0005,K008,E003,已订正,2026-04-01
M088,S018,Q0002,K009,E001,待订正,2026-01-08
M089,S018,Q0003,K005,E002,已订正,2026-01-07
M090,S019,Q0004,K009,E001,待订正,2026-01-27
M091,S019,Q0002,K007,E002,已订正,2026-03-18
M092,S019,Q0003,K003,E001,已订正,2026-03-14
M093,S019,Q0001,K005,E002,已订正,2026-01-08
M094,S019,Q0005,K009,E003,已订正,2026-01-17
M095,S020,Q0004,K007,E002,已订正,2026-01-01
M096,S020,Q0002,K002,E001,待订正,2026-03-05
M097,S020,Q0003,K006,E003,待订正,2026-03-13
M098,S020,Q0001,K010,E002,已订正,2026-03-04
M099,S020,Q0005,K010,E003,已订正,2026-02-06
M100,S021,Q0001,K010,E002,已订正,2026-01-24
M101,S021,Q0005,K009,E001,待订正,2026-03-24
M102,S021,Q0004,K005,E002,待订正,2026-02-20
M103,S021,Q0003,K003,E001,待订正,2026-02-07
M104,S021,Q0002,K010,E002,待订正,2026-02-27
M105,S022,Q0004,K008,E003,待订正,2026-02-13
M106,S022,Q0005,K003,E001,已订正,2026-01-17
M107,S022,Q0003,K006,E003,已订正,2026-01-20
M108,S022,Q0001,K002,E001,已订正,2026-01-24
M109,S022,Q0002,K008,E003,待订正,2026-02-19
M110,S023,Q0004,K003,E003,待订正,2026-01-03
M111,S023,Q0001,K006,E001,待订正,2026-02-05
M112,S023,Q0002,K010,E002,待订正,2026-01-14
M113,S023,Q0005,K009,E002,待订正,2026-04-01
M114,S023,Q0003,K007,E001,已订正,2026-01-16
M115,S024,Q0001,K001,E002,待订正,2026-03-19
M116,S024,Q0002,K006,E002,已订正,2026-02-23
M117,S024,Q0004,K009,E003,待订正,2026-02-19
M118,S024,Q0005,K003,E003,待订正,2026-02-04
M119,S024,Q0003,K003,E002,已订正,2026-02-13
M120,S025,Q0001,K001,E001,已订正,2026-03-03
M121,S025,Q0003,K006,E003,已订正,2026-03-30
M122,S025,Q0002,K003,E002,已订正,2026-01-24
M123,S026,Q0003,K005,E001,待订正,2026-03-02
M124,S026,Q0002,K009,E001,待订正,2026-01-10
M125,S026,Q0001,K006,E001,已订正,2026-01-11
M126,S026,Q0005,K004,E002,待订正,2026-03-21
M127,S026,Q0004,K006,E002,待订正,2026-03-02
M128,S027,Q0003,K008,E001,待订正,2026-01-27
M129,S027,Q0005,K006,E002,已订正,2026-02-09
M130,S027,Q0001,K009,E001,已订正,2026-01-10
M131,S027,Q0002,K002,E002,已订正,2026-03-08
M132,S027,Q0004,K004,E003,已订正,2026-03-07
M133,S028,Q0002,K010,E001,待订正,2026-02-10
M134,S028,Q0001,K010,E001,已订正,2026-03-21
M135,S028,Q0003,K010,E001,待订正,2026-01-07
M136,S028,Q0005,K002,E001,待订正,2026-02-08
M137,S028,Q0004,K007,E003,已订正,2026-02-12
M138,S029,Q0004,K004,E003,待订正,2026-03-18
M139,S029,Q0002,K003,E002,已订正,2026-02-20
M140,S029,Q0005,K004,E003,待订正,2026-03-31
M141,S029,Q0003,K008,E003,待订正,2026-03-01
M142,S029,Q0001,K001,E001,待订正,2026-01-29
M143,S030,Q0002,K005,E003,已订正,2026-03-05
M144,S030,Q0001,K003,E001,已订正,2026-03-14
M145,S030,Q0003,K009,E003,已订正,2026-02-18
M146,S030,Q0005,K010,E001,已订正,2026-03-02
M147,S030,Q0004,K007,E003,已订正,2026-02-21
M148,S031,Q0002,K010,E002,待订正,2026-02-25
M149,S031,Q0003,K003,E003,待订正,2026-03-13
M150,S031,Q0001,K002,E001,待订正,2026-03-14
M151,S031,Q0005,K001,E003,已订正,2026-02-21
M152,S031,Q0004,K007,E001,待订正,2026-03-25
M153,S032,Q0002,K007,E001,待订正,2026-01-19
M154,S032,Q0004,K007,E003,已订正,2026-03-23
M155,S032,Q0003,K002,E002,待订正,2026-02-02
M156,S032,Q0005,K004,E003,已订正,2026-03-23
M157,S032,Q0001,K002,E001,待订正,2026-03-23
M158,S033,Q0005,K008,E003,待订正,2026-03-06
M159,S033,Q0004,K005,E001,已订正,2026-03-30
M160,S033,Q0001,K003,E001,待订正,2026-01-30
M161,S033,Q0003,K004,E003,已订正,2026-03-01
M162,S034,Q0003,K004,E001,已订正,2026-03-13
M163,S034,Q0004,K005,E001,已订正,2026-01-15
M164,S034,Q0001,K004,E001,待订正,2026-02-05
M165,S034,Q0005,K002,E002,已订正,2026-03-23
M166,S034,Q0002,K009,E003,已订正,2026-02-19
M167,S035,Q0004,K003,E003,已订正,2026-03-18
M168,S035,Q0002,K008,E003,已订正,2026-03-22
M169,S035,Q0001,K007,E001,待订正,2026-02-18
M170,S035,Q0003,K007,E001,待订正,2026-03-11
M171,S035,Q0005,K008,E003,待订正,2026-01-30
M172,S036,Q0004,K005,E001,已订正,2026-03-05
M173,S036,Q0005,K001,E001,已订正,2026-01-09
M174,S036,Q0002,K001,E002,已订正,2026-02-14
M175,S036,Q0003,K007,E003,待订正,2026-03-18
M176,S037,Q0003,K003,E003,待订正,2026-03-16
M177,S037,Q0004,K002,E003,已订正,2026-04-01
M178,S037,Q0002,K001,E001,待订正,2026-03-05
M179,S037,Q0001,K001,E002,已订正,2026-01-29
M180,S037,Q0005,K004,E003,已订正,2026-03-08
M181,S038,Q0003,K009,E002,已订正,2026-01-06
M182,S038,Q0004,K009,E001,已订正,2026-01-24
M183,S038,Q0005,K009,E001,已订正,2026-01-07
M184,S038,Q0001,K001,E002,已订正,2026-01-25
M185,S038,Q0002,K005,E002,已订正,2026-02-05
M186,S039,Q0005,K004,E003,待订正,2026-01-17
M187,S039,Q0001,K004,E001,待订正,2026-01-15
M188,S039,Q0002,K007,E003,已订正,2026-02-04
M189,S039,Q0003,K008,E003,已订正,2026-02-23
M190,S039,Q0004,K010,E001,待订正,2026-03-07
M191,S040,Q0004,K002,E003,待订正,2026-03-25
M192,S040,Q0003,K009,E002,已订正,2026-01-05
M193,S040,Q0005,K003,E003,待订正,2026-03-13
M194,S040,Q0002,K004,E002,待订正,2026-03-16
M195,S040,Q0001,K001,E002,已订正,2026-01-09
M196,S041,Q0002,K002,E003,待订正,2026-01-07
M197,S041,Q0005,K005,E002,已订正,2026-02-23
M198,S041,Q0003,K009,E002,已订正,2026-03-23
M199,S041,Q0004,K009,E003,已订正,2026-01-24
M200,S041,Q0001,K010,E003,待订正,2026-01-03
M201,S042,Q0005,K008,E001,已订正,2026-01-11
M202,S042,Q0003,K002,E001,待订正,2026-02-13
M203,S042,Q0002,K001,E002,待订正,2026-03-02
M204,S042,Q0001,K009,E001,待订正,2026-02-17
M205,S042,Q0004,K002,E001,已订正,2026-03-16
M206,S043,Q0001,K003,E001,待订正,2026-01-15
M207,S043,Q0005,K003,E001,已订正,2026-02-22
M208,S043,Q0002,K008,E003,已订正,2026-01-30
M209,S043,Q0003,K002,E002,待订正,2026-02-18
M210,S043,Q0004,K006,E002,已订正,2026-02-26
M211,S044,Q0003,K007,E001,待订正,2026-01-17
M212,S044,Q0005,K006,E003,待订正,2026-03-28
M213,S044,Q0002,K002,E001,已订正,2026-02-06
M214,S044,Q0004,K004,E003,已订正,2026-01-22
M215,S044,Q0001,K006,E001,待订正,2026-02-28
M216,S045,Q0002,K001,E002,已订正,2026-02-27
M217,S045,Q0003,K009,E001,已订正,2026-03-17
M218,S045,Q0004,K001,E003,已订正,2026-01-13
M219,S045,Q0001,K009,E001,已订正,2026-01-26
M220,S045,Q0005,K004,E003,已订正,2026-02-07
M221,S046,Q0001,K001,E001,待订正,2026-02-12
M222,S046,Q0003,K001,E001,待订正,2026-02-10
M223,S046,Q0005,K009,E001,已订正,2026-01-15
M224,S046,Q0004,K010,E001,已订正,2026-02-23
M225,S046,Q0002,K002,E003,待订正,2026-03-11
M226,S047,Q0003,K004,E002,已订正,2026-03-18
M227,S047,Q0002,K002,E002,已订正,2026-02-03
M228,S047,Q0005,K006,E001,已订正,2026-02-05
M229,S047,Q0001,K007,E002,已订正,2026-03-06
M230,S047,Q0004,K010,E003,已订正,2026-02-06
M231,S048,Q0002,K005,E001,已订正,2026-02-15
M232,S048,Q0005,K008,E002,已订正,2026-01-29
M233,S048,Q0001,K009,E002,待订正,2026-03-19
M234,S048,Q0004,K003,E001,待订正,2026-01-15
M235,S048,Q0003,K007,E001,待订正,2026-03-06
M236,S049,Q0002,K003,E002,已订正,2026-01-21
M237,S049,Q0005,K007,E001,已订正,2026-02-14
M238,S049,Q0001,K008,E001,已订正,2026-01-03
M239,S049,Q0004,K003,E001,待订正,2026-02-10
M240,S049,Q0003,K002,E003,待订正,2026-01-23
M241,S050,Q0003,K002,E001,已订正,2026-03-23
M242,S050,Q0002,K001,E002,已订正,2026-03-08
M243,S050,Q0001,K004,E001,已订正,2026-03-28
M244,S050,Q0005,K005,E002,已订正,2026-02-05
M245,S050,Q0004,K007,E001,已订正,2026-01-17
